X,Y,Z
-131.352692,238.314117,76.68129
-131.439758,238.289734,75.402298
-131.512497,238.255264,74.071373
-131.436356,238.276871,72.725777
-131.445313,238.281891,71.390945
-131.440292,238.286438,69.883369
-131.255692,238.335449,68.26606
-131.165787,238.243668,66.81794
-130.845703,238.236572,65.215591
-130.643799,238.102783,63.673763
-130.303482,238.171127,62.113602
-130.071457,238.11467,60.443661
-129.628265,238.195038,58.752655
-129.33992,238.162964,57.282879
-129.082962,238.10173,55.870613
-128.57103,238.034836,54.467545
-128.290817,238.013351,53.283752
-127.919853,238.04277,51.979542
-127.535667,237.999283,50.73534
-127.152534,237.962387,49.520573
-126.813736,237.972229,48.374451
-126.31366,237.995316,47.139011
-125.936432,237.844864,45.945415
-125.49633,237.659286,44.738537
-124.937851,237.826523,43.654186
-124.547157,237.826401,42.605862
-124.14325,237.792908,41.522751
-123.779739,237.825592,40.463383
-123.383209,237.832306,39.527466
-123.107346,237.907639,38.495403
-122.846443,237.812836,37.476315
-122.603065,237.843567,36.452206
-122.384315,237.787079,35.424591
-122.026047,237.788284,34.298717
-121.821083,237.690674,33.266754
-121.597694,237.777298,32.348888
-121.43959,237.683289,31.324707
-121.197342,237.74469,30.357676
-121.094376,237.626572,29.224415
-120.975212,237.630219,28.128496
-120.69265,237.599365,26.697317
-120.590286,237.604401,25.267712
-120.449753,237.563812,23.866701
-120.278191,237.690857,22.477251
-120.242493,237.427094,20.914762
-120.039124,237.539215,19.414541
-119.884552,237.402435,17.700178
-119.822609,237.349838,16.141214
-119.690826,237.338852,14.474799
-119.483879,237.13942,12.74473
-119.181259,237.231476,11.097507
-118.990837,237.077835,9.36999
-118.745506,236.971222,7.530985
-118.598778,237.072174,6.02609
-118.341118,236.940445,4.34148
-117.991241,237.007172,2.841902
-117.875801,237.06543,1.330257
-117.719521,237.062073,-0.143324
-117.620842,236.827225,-1.694902
-117.310822,236.831497,-2.96612
-116.974365,237.095139,-4.047147
-116.655579,236.767151,-5.467345
-116.321632,236.812576,-6.707135
-115.921112,236.578156,-7.89711
-115.64296,236.803955,-8.901546
-115.054482,236.157272,-10.425466
-114.676643,235.631256,-11.92481
-114.469315,235.947708,-12.931446
-114.507217,236.305893,-13.967763
-114.437263,236.646622,-15.092193
-114.371056,236.522568,-16.528681
-114.436432,236.701035,-17.845457
-114.35302,236.987656,-19.244656
-114.30275,236.909088,-20.853121
-114.450279,236.980164,-22.315599
-114.590935,237.054047,-23.744102
-114.783363,237.116486,-25.167051
-114.458885,236.195648,-27.060499
-114.484596,235.835236,-28.955416
-114.50032,235.75032,-30.598364
-114.599113,235.787811,-32.334694
-114.872398,235.807373,-34.026146
-115.049896,235.78595,-35.846466
-115.24865,235.902512,-37.351818
-115.422928,235.833466,-38.979382
-115.528091,235.840561,-40.483742
-115.630417,235.632507,-42.062969
-115.688026,235.613495,-43.54921
-115.746376,235.60405,-45.021893
-115.780708,235.560425,-46.477554
-115.846748,235.58429,-47.889622
-115.909309,235.604111,-49.283146
-115.965935,235.60968,-50.660908
-115.998657,235.573624,-51.98756
-115.99408,235.566086,-53.320587
-116.044479,235.468781,-54.569305
