A B C k_max k_min L W
0.1 0.17999999999999997 0.33999999999999986 3144809.640636373 134463.77362830285 0.5111076360445178 0.009864600932271947
0.1 0.17999999999999997 0.34999999999999987 2035978.309918993 81443.47123942553 0.4588744171097474 0.009987908443925348
0.1 0.17999999999999997 0.3599999999999999 1149841.9631996844 47241.94226840781 0.38558281579945974 0.010111215955578748
0.1 0.17999999999999997 0.3699999999999999 487581.7529164437 24004.832348016032 0.2752305675395443 0.010234523467232146
0.1 0.18999999999999995 0.2799999999999999 2704472.619590657 2736706.9656586 0.6111330451185684 0.00937137088565835
0.1 0.18999999999999995 0.2899999999999999 3389850.887264186 2720945.1931659114 0.6228428352490692 0.009494678397311749
0.1 0.18999999999999995 0.29999999999999993 4191219.865782691 1789333.733432016 0.6277456652549349 0.009617985908965147
0.1 0.18999999999999995 0.30999999999999994 4966105.890741675 1001375.9292036411 0.6256106538703738 0.009741293420618547
0.1 0.18999999999999995 0.3199999999999999 5405218.2894288115 561873.9111940641 0.6159371680200106 0.009864600932271947
0.1 0.18999999999999995 0.32999999999999985 5180041.9882688755 327825.55898881657 0.5978943714323837 0.009987908443925346
0.1 0.18999999999999995 0.33999999999999986 4295063.719967135 197681.28858475827 0.570185957577117 0.010111215955578746
0.1 0.18999999999999995 0.34999999999999987 3122406.696489435 121144.5881509997 0.5307656220462299 0.010234523467232146
0.1 0.18999999999999995 0.3599999999999999 2023646.0167453934 73749.6827066361 0.47619043284973767 0.010357830978885544
0.1 0.18999999999999995 0.3699999999999999 1145342.1411596339 42996.043242656335 0.39986366082906877 0.010481138490538944
0.1 0.18999999999999995 0.3799999999999999 486833.9590174952 21969.033810865476 0.28523895181370895 0.010604446002192344
0.1 0.19999999999999996 0.2899999999999999 2764703.7970314794 2910650.838105051 0.6371387066129756 0.009741293420618547
0.1 0.19999999999999996 0.29999999999999993 3458662.632273625 2709321.6636003703 0.6487946200511137 0.009864600932271947
0.1 0.19999999999999996 0.30999999999999994 4262646.407359712 1659060.1108885033 0.6533679373061567 0.009987908443925348
0.1 0.19999999999999996 0.3199999999999999 5026072.496347803 901945.4651457247 0.6506350800251893 0.010111215955578746
0.1 0.19999999999999996 0.32999999999999985 5436187.878673752 503104.2245271041 0.6400915667658936 0.010234523467232146
0.1 0.19999999999999996 0.33999999999999986 5178242.671725721 294124.886194222 0.6208903087951674 0.010357830978885544
0.1 0.19999999999999996 0.34999999999999987 4277254.68884986 178128.80563806742 0.591702408806442 0.010481138490538944
0.1 0.19999999999999996 0.3599999999999999 3106458.814504928 109690.76190585044 0.550423608047942 0.010604446002192344
0.1 0.19999999999999996 0.3699999999999999 2015321.2127805667 67097.16612705153 0.49350644858972836 0.010727753513845743
0.1 0.19999999999999996 0.3799999999999999 1142761.289972083 39301.6862705739 0.4141445058586785 0.010851061025499143
0.1 0.19999999999999996 0.3899999999999999 486733.3605884143 20184.10039136262 0.29524733608787435 0.010974368537152541
0.1 0.20999999999999996 0.29999999999999993 2816445.4502178626 3074662.0398547235 0.6631443681073824 0.010111215955578748
0.1 0.20999999999999996 0.30999999999999994 3517883.158581777 2660028.525601755 0.6747464048531586 0.010234523467232146
0.1 0.20999999999999996 0.3199999999999999 4324215.072251406 1527972.9900982648 0.6789902093573787 0.010357830978885544
0.1 0.20999999999999996 0.32999999999999985 5078067.664267027 812897.8287769345 0.6756595061800044 0.010481138490538944
0.1 0.20999999999999996 0.33999999999999986 5464149.1085088365 452140.6392732514 0.6642459655117761 0.010604446002192344
0.1 0.20999999999999996 0.34999999999999987 5179448.181060251 265109.6345120105 0.6438862461579513 0.010727753513845743
0.1 0.20999999999999996 0.3599999999999999 4265449.932787357 161273.40507136105 0.6132188600357674 0.010851061025499143
0.1 0.20999999999999996 0.3699999999999999 3095820.4980641375 99774.60840324606 0.5700815940496544 0.010974368537152541
0.1 0.20999999999999996 0.3799999999999999 2010277.3698555385 61306.69553197772 0.5108224643297188 0.011097676048805941
0.1 0.20999999999999996 0.3899999999999999 1141753.5313835638 36066.915979490426 0.42842535088828804 0.01122098356045934
0.1 0.20999999999999996 0.3999999999999998 487164.46059276484 18610.10308942905 0.30525572036204124 0.011344291072112739
0.1 0.21999999999999995 0.29999999999999993 2294361.2549974415 2296152.055419087 0.6698852015573281 0.010357830978885546
0.1 0.21999999999999995 0.30999999999999994 2860880.544333801 3224064.1633561514 0.68915002960179 0.010481138490538945
0.1 0.21999999999999995 0.3199999999999999 3568892.512632628 2578575.417650679 0.7006981896552029 0.010604446002192344
0.1 0.21999999999999995 0.32999999999999985 4377461.193707628 1400966.4243998425 0.7046124814086006 0.010727753513845743
0.1 0.21999999999999995 0.33999999999999986 5123532.0127993 733787.6252910759 0.7006839323348194 0.010851061025499143
